lessonName,lessonTime,lessonClass,lessonTeacher,lessonDay,groupName,podGroup,numerator,id
пр.СУ предпр. (ERP),13.35-15.10 ,337,Гладких Т.В.,ПЯТНИЦА     ,У-205,1,1,6669
пр.Иностранный язык,15.20-16.55 ,15,Полозова С.В.,ПЯТНИЦА     ,У-205,1,0,6670
пр.Иностранный язык,15.20-16.55 ,16,Мякушкина О.В.,ПЯТНИЦА     ,У-205,1,0,6671
пр.Иностранный язык,15.20-16.55 ,15,Полозова С.В.,ПЯТНИЦА     ,У-205,1,1,6672
пр.Иностранный язык,15.20-16.55 ,16,Мякушкина О.В.,ПЯТНИЦА     ,У-205,1,1,6673
л.Философия,09.45-11.20 ,452,Черниговских И.В.,ПОНЕДЕЛЬНИК ,У-205,2,1,6674
"Элективные дисциплины (курсы) по физической культуре и спорту, общая физическая подготовка",11.50-13.25 ,-,-,ПОНЕДЕЛЬНИК ,У-205,2,0,6675
"Элективные дисциплины (курсы) по физической культуре и спорту, общая физическая подготовка",11.50-13.25 ,-,-,ПОНЕДЕЛЬНИК ,У-205,2,1,6676
"л.Вычислительные системы, сети и телекоммуникации",13.35-15.10 ,404,Ивлиев М.Н.,ПОНЕДЕЛЬНИК ,У-205,2,0,6677
л.Математика,15.20-16.55 ,201,Чернышов А.Д.,ПОНЕДЕЛЬНИК ,У-205,2,0,6678
пр.Иностранный язык,08.00-09.35 ,10и,Мякушкина О.В.,ВТОРНИК     ,У-205,2,0,6679
пр.Иностранный язык,08.00-09.35 ,10и,Мякушкина О.В.,ВТОРНИК     ,У-205,2,1,6680
л.Системы управления предприятием (ERP),09.45-11.20 ,334,Гладких Т.В.,ВТОРНИК     ,У-205,2,0,6681
л.Системы управления предприятием (ERP),09.45-11.20 ,334,Гладких Т.В.,ВТОРНИК     ,У-205,2,1,6682
пр.Философия,11.50-13.25 ,410,Черниговских И.В.,ВТОРНИК     ,У-205,2,0,6683
пр.Философия,11.50-13.25 ,410,Черниговских И.В.,ВТОРНИК     ,У-205,2,1,6684
пр.Основы проектного обучения,13.35-15.10 ,020,Лыгина Л.В., СРЕДА      ,У-205,2,1,6685
пр.Математика,15.20-16.55 ,225,Андреев Д.Г., СРЕДА      ,У-205,2,1,6686
пр.Иностранный язык,17.05-18.40 ,2и,Полозова С.В., СРЕДА      ,У-205,2,1,6687
л.Алгоритмизация и программирование,09.45-11.20 ,334,Черняева С.Н.,ЧЕТВЕРГ     ,У-205,2,0,6688
пр.Иностранный язык,09.45-11.20 ,11и,Полозова С.В.,ЧЕТВЕРГ     ,У-205,2,1,6689
л.Информационные системы и технологии,11.50-13.25 ,401,Коробова Л.А.,ЧЕТВЕРГ     ,У-205,2,0,6690
л.Информационные системы и технологии,11.50-13.25 ,401,Коробова Л.А.,ЧЕТВЕРГ     ,У-205,2,1,6691
пр.ИСиТ,13.35-15.10 ,339,Толстова И.С.,ЧЕТВЕРГ     ,У-205,2,0,6692
пр.Мод. инф. и тех. проц.,13.35-15.10 ,332,Литвинов Д.А.,ЧЕТВЕРГ     ,У-205,2,1,6693
"пр.Выч. системы, сети",15.20-16.55 ,332,Зайцева М.А.,ЧЕТВЕРГ     ,У-205,2,1,6694
л.Моделирование информационных и технологических процессов,09.45-11.20 ,334,Даценко Н.В.,ПЯТНИЦА     ,У-205,2,0,6695
л.Основы проектного обучения,09.45-11.20 ,37,Лыгина Л.В.,ПЯТНИЦА     ,У-205,2,1,6696
пр.Алг. и программир.,11.50-13.25 ,339,Черняева С.Н.,ПЯТНИЦА     ,У-205,2,0,6697
пр.СУ предпр. (ERP),11.50-13.25 ,337,Гладких Т.В.,ПЯТНИЦА     ,У-205,2,1,6698
пр.СУ предпр. (ERP),13.35-15.10 ,337,Гладких Т.В.,ПЯТНИЦА     ,У-205,2,0,6699
пр.ИСиТ,13.35-15.10 ,339,Толстова И.С.,ПЯТНИЦА     ,У-205,2,1,6700
пр.Иностранный язык,15.20-16.55 ,15,Полозова С.В.,ПЯТНИЦА     ,У-205,2,0,6701
пр.Иностранный язык,15.20-16.55 ,16,Мякушкина О.В.,ПЯТНИЦА     ,У-205,2,0,6702
пр.Иностранный язык,15.20-16.55 ,15,Полозова С.В.,ПЯТНИЦА     ,У-205,2,1,6703
пр.Иностранный язык,15.20-16.55 ,16,Мякушкина О.В.,ПЯТНИЦА     ,У-205,2,1,6704
пр.Иностранный язык,09.45-11.20 ,16,Мякушкина О.В.,ПОНЕДЕЛЬНИК ,У-206,1,0,6705
л.Философия,09.45-11.20 ,452,Черниговских И.В.,ПОНЕДЕЛЬНИК ,У-206,1,1,6706
"Элективные дисциплины (курсы) по физической культуре и спорту, общая физическая подготовка",11.50-13.25 ,-,-,ПОНЕДЕЛЬНИК ,У-206,1,0,6707
"Элективные дисциплины (курсы) по физической культуре и спорту, общая физическая подготовка",11.50-13.25 ,-,-,ПОНЕДЕЛЬНИК ,У-206,1,1,6708
"л.Вычислительные системы, сети и телекоммуникации",13.35-15.10 ,404,Ивлиев М.Н.,ПОНЕДЕЛЬНИК ,У-206,1,0,6709
л.Математика,15.20-16.55 ,201,Чернышов А.Д.,ПОНЕДЕЛЬНИК ,У-206,1,0,6710
пр.Иностранный язык,17.05-18.40 ,3и,Полозова С.В.,ПОНЕДЕЛЬНИК ,У-206,1,0,6711
пр.Алг. и программир.,08.00-09.35 ,332,Паринов Д.Б.,ВТОРНИК     ,У-206,1,0,6712
л.Системы управления предприятием (ERP),09.45-11.20 ,334,Гладких Т.В.,ВТОРНИК     ,У-206,1,0,6713
л.Системы управления предприятием (ERP),09.45-11.20 ,334,Гладких Т.В.,ВТОРНИК     ,У-206,1,1,6714
